,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
110,1391.0072,507.97675,1340.0111,507.97504,1632.9861,528.9753,1484.0062,552.9718,1378.0063,389.9763,1015.9834,534.98474,410.97296,580.99225,1333.0109,518.9752,399.98572,481.9978,1338.0125,318.97556
111,1391.0087,507.97803,1340.0121,507.97598,1632.9904,528.97723,1484.0082,552.97296,1378.0065,389.9778,1015.98425,534.98615,410.9697,580.9927,1333.0118,518.9763,399.98114,481.99908,1338.0126,318.97678
112,1391.0089,507.9793,1340.0128,507.97687,1632.9877,528.97815,1484.0073,552.9747,1378.0068,389.9788,1015.98584,534.9879,410.9699,580.9921,1333.013,518.97705,399.98267,481.99744,1338.0135,318.9773
113,1391.0061,507.97995,1340.0096,507.97775,1632.9895,528.9784,1484.0032,552.9758,1378.0055,389.97958,1015.9861,534.98676,410.97278,580.99194,1333.0095,518.97797,399.9878,481.997,1338.0117,318.97833
114,1391.0088,507.9806,1340.0118,507.9782,1632.9915,528.9787,1484.0065,552.97644,1378.0088,389.9803,1015.9884,534.98596,410.97186,580.99066,1333.0116,518.9784,399.9854,481.99646,1338.0138,318.97873
115,1391.0121,507.9806,1340.0154,507.97818,1632.9983,528.9783,1484.0118,552.97705,1378.0122,389.97986,1015.98883,534.98627,410.97302,580.99,1333.0151,518.9784,399.9875,481.99597,1338.0178,318.97827
116,1391.0093,507.97998,1340.013,507.97797,1632.9938,528.97815,1484.008,552.9765,1378.0099,389.97928,1015.98816,534.9862,410.97406,580.9917,1333.0127,518.9782,399.9899,481.99667,1338.0155,318.9782
117,1391.0101,507.97974,1340.0138,507.97766,1632.9974,528.9753,1484.0099,552.9758,1378.0105,389.97906,1015.9884,534.98627,410.97305,580.99554,1333.0132,518.978,399.9885,481.99982,1338.0159,318.978
118,1391.0089,507.9773,1340.0132,507.97522,1632.9934,528.972,1484.0092,552.97217,1378.0106,389.9764,1015.995,534.98535,410.97864,580.9943,1333.0126,518.9755,399.99188,481.99823,1338.0161,318.9753
119,1391.0156,507.97913,1340.0186,507.97675,1633.0026,528.9765,1484.017,552.97565,1378.0165,389.97836,1015.99786,534.98615,410.9906,580.9929,1333.0187,518.97687,400.00302,481.998,1338.0206,318.97693
120,1391.0146,507.97638,1340.0172,507.97473,1632.9972,528.9736,1484.0133,552.9727,1378.015,389.97598,1015.9974,534.98413,410.98917,580.99194,1333.017,518.9748,399.99985,481.99695,1338.0194,318.97507
121,1391.0125,507.9743,1340.0165,507.97278,1632.9922,528.9711,1484.0114,552.9694,1378.013,389.9738,1015.9963,534.98303,410.984,580.9891,1333.0165,518.9729,399.99957,481.9945,1338.0181,318.97296
122,1391.0172,507.97412,1340.0209,507.97266,1632.9968,528.96954,1484.0162,552.96906,1378.0164,389.9736,1015.99554,534.9835,410.97723,580.9895,1333.0209,518.9726,399.99036,481.9949,1338.0219,318.97308
123,1391.0162,507.97452,1340.0192,507.97314,1632.9916,528.9697,1484.0135,552.9689,1378.0146,389.97406,1015.9958,534.9847,410.97797,580.99225,1333.0194,518.973,399.99194,481.9972,1338.0201,318.9733
124,1391.0121,507.97513,1340.0157,507.9735,1632.9904,528.97,1484.0105,552.9695,1378.0117,389.97504,1015.9976,534.98596,410.97894,580.9951,1333.016,518.9734,399.9948,482.00104,1338.0176,318.97397
125,1391.0138,507.9759,1340.017,507.97443,1632.989,528.9716,1484.012,552.971,1378.0132,389.97552,1015.9978,534.9846,410.98267,580.9948,1333.0175,518.9744,399.9964,482.00082,1338.0194,318.97458
126,1391.0107,507.97736,1340.0137,507.9748,1632.991,528.971,1484.0084,552.971,1378.0109,389.97638,1015.99475,534.982,410.98492,580.9906,1333.0138,518.97473,399.9984,481.99683,1338.0168,318.97485
127,1391.0112,507.97772,1340.014,507.97473,1632.9891,528.9723,1484.0082,552.97217,1378.0114,389.9765,1015.9981,534.98236,410.98505,580.9896,1333.0144,518.97473,399.99792,481.99637,1338.0165,318.9745
128,1391.0095,507.9762,1340.0128,507.97385,1632.9874,528.9707,1484.0063,552.97107,1378.0104,389.97546,1015.99695,534.98315,410.9795,580.98846,1333.0128,518.9739,399.99463,481.99417,1338.016,318.9739
129,1391.0112,507.976,1340.0142,507.97394,1632.987,528.97064,1484.0073,552.97003,1378.0106,389.97583,1015.99744,534.98285,410.98062,580.9908,1333.0142,518.974,399.99542,481.997,1338.0157,318.9742
130,1391.011,507.97552,1340.0145,507.97275,1632.9879,528.9716,1484.0084,552.9706,1378.0107,389.9748,1015.99365,534.98285,410.97693,580.98724,1333.0145,518.9729,399.99255,481.99512,1338.0165,318.97302
131,1391.0107,507.9749,1340.0135,507.97287,1632.9886,528.9712,1484.0093,552.97034,1378.0099,389.97397,1015.99164,534.9834,410.97937,580.98724,1333.0137,518.9731,399.99573,481.99423,1338.0165,318.97263
132,1391.0101,507.97522,1340.0127,507.97296,1632.9879,528.97314,1484.0085,552.97144,1378.0106,389.9744,1015.9914,534.9818,410.9729,580.9898,1333.0128,518.9731,399.99048,481.99658,1338.0171,318.97293
133,1391.0103,507.9752,1340.0125,507.9729,1632.9916,528.971,1484.0096,552.97095,1378.0104,389.97455,1015.9899,534.9825,410.9723,580.99036,1333.013,518.973,399.98666,481.99664,1338.0166,318.97293
134,1391.0118,507.97784,1340.0153,507.97528,1632.9857,528.9757,1484.0095,552.9742,1378.0125,389.97638,1016.0019,534.9838,410.98593,580.99426,1333.0159,518.97516,399.99643,481.99976,1338.0187,318.97482
135,1391.0123,507.97656,1340.0148,507.97345,1632.985,528.9738,1484.0116,552.97266,1378.012,389.9752,1015.9921,534.98236,410.97253,580.9919,1333.0149,518.9735,399.98694,481.99725,1338.0177,318.973
136,1391.0111,507.9754,1340.0145,507.97327,1632.988,528.9721,1484.0111,552.97144,1378.011,389.97458,1015.9865,534.9835,410.96686,580.9914,1333.015,518.9733,399.98398,481.99707,1338.0178,318.973
137,1391.0109,507.97577,1340.0139,507.97357,1632.9885,528.9727,1484.0092,552.9712,1378.0114,389.9747,1015.9885,534.98224,410.96863,580.9927,1333.0144,518.9735,399.98273,481.99738,1338.0177,318.97302
138,1391.0106,507.97394,1340.0133,507.97183,1632.9891,528.97015,1484.01,552.9697,1378.0103,389.97327,1015.9876,534.9809,410.9713,580.9905,1333.0135,518.9716,399.9845,481.99567,1338.0162,318.97144
139,1391.0115,507.9732,1340.0139,507.971,1632.9893,528.97095,1484.0092,552.96954,1378.0111,389.97174,1015.98846,534.9796,410.96567,580.99,1333.0139,518.97095,399.97983,481.99667,1338.0166,318.97034
140,1391.0099,507.97134,1340.011,507.96985,1632.9888,528.96985,1484.0084,552.9674,1378.0099,389.97058,1015.98413,534.9789,410.9596,580.9896,1333.0109,518.9697,399.9748,481.9958,1338.015,318.9695
141,1391.0087,507.97052,1340.0101,507.96863,1632.9872,528.96936,1484.0061,552.9671,1378.009,389.9698,1015.98315,534.9779,410.96295,580.9894,1333.0101,518.9686,399.97614,481.9949,1338.0145,318.96875
