,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
111,535.00085,197.99239,692.0009,223.99182,651.00085,289.99152,638.0011,128.99144,532.001,343.9922,104.007675,239.99567,556.0011,211.99231,149.00706,236.99591,595.0014,291.99194,119.007126,224.99582
112,535.0005,197.99446,692.0005,223.99362,651.0005,289.99347,638.0007,128.99333,532.00055,343.99426,104.004395,239.99374,556.0007,211.9944,149.00368,236.99467,595.001,291.99408,119.0034,224.99437
113,535.00104,197.99461,692.0011,223.99435,651.00134,289.9941,638.0015,128.99373,532.0011,343.99442,103.998184,239.99684,556.00116,211.99449,148.9972,236.99696,595.0016,291.99432,118.99681,224.9975
114,535.0006,197.99585,692.0009,223.99554,651.00085,289.99542,638.001,128.99501,532.0007,343.99567,103.99727,239.99487,556.0006,211.99583,148.9964,236.99477,595.0011,291.9955,118.99675,224.9954
115,535.0015,197.99463,692.0016,223.99481,651.0016,289.99435,638.00183,128.99411,532.0016,343.99448,104.000534,239.99452,556.00165,211.99454,149.00032,236.99469,595.002,291.99426,118.99945,224.99506
116,535.0017,197.9984,692.00134,223.99756,651.0012,289.99695,638.0015,128.9969,532.00183,343.99823,104.0027,239.99292,556.0017,211.99834,149.00175,236.9946,595.00183,291.99792,119.00157,224.99448
117,535.0038,197.99922,692.0039,223.99869,651.00354,289.99814,638.0039,128.99815,532.00397,343.99908,104.003296,239.99345,556.00385,211.99902,149.00284,236.99463,595.0042,291.99866,119.00217,224.99431
118,535.0062,198.00464,692.00604,224.00482,651.00586,290.00436,638.0062,129.00433,532.0064,344.00452,104.00249,239.98785,556.00635,212.00467,149.00203,236.98956,595.0065,292.00455,119.001526,224.98895
119,534.9956,198.0009,691.99567,224.00111,650.9954,290.00082,637.9957,129.00076,531.99585,344.0008,103.99916,239.98676,555.99585,212.00098,148.99854,236.9883,594.996,292.0008,118.997894,224.98799
120,534.9901,198.00983,691.98987,224.01016,650.9901,290.00977,637.9904,129.00961,531.99036,344.0097,104.00069,239.98207,555.9904,212.00984,148.9998,236.98413,594.99066,292.00967,118.99945,224.98334
121,534.96643,198.00536,691.9661,224.00479,650.9667,290.005,637.96704,129.00502,531.9666,344.00525,103.99019,239.98462,555.9673,212.00534,148.98889,236.98691,594.9674,292.0052,118.98917,224.98587
122,534.9442,198.0014,691.94415,224.00024,650.9446,290.0008,637.94495,129.0008,531.9442,344.0012,103.9801,239.97952,555.94525,212.00134,148.97807,236.98221,594.94543,292.00116,118.97887,224.98093
123,534.9192,197.99487,691.91846,223.99248,650.9192,289.99332,637.9197,128.99345,531.919,343.9946,103.960175,239.98196,555.92053,211.99467,148.95964,236.9844,594.9208,291.99423,118.95969,224.98325
124,534.8935,197.98683,691.89355,223.98383,650.8942,289.98474,637.8945,128.98488,531.89325,343.98648,103.93602,239.98521,555.895,211.9866,148.93224,236.98785,594.89526,291.98593,118.93466,224.98671
125,534.86304,197.97441,691.8632,223.97076,650.864,289.9719,637.86444,128.97206,531.8628,343.974,103.91348,239.98953,555.86475,211.974,148.90933,236.99178,594.86487,291.97327,118.91078,224.99136
126,534.85767,197.96461,691.8574,223.95963,650.85834,289.9609,637.8585,128.96124,531.85754,343.9642,103.8927,239.99922,555.8593,211.96405,148.88959,237.00043,594.8595,291.9631,118.89157,224.99991
127,534.8736,197.94455,691.87427,223.93896,650.8747,289.94003,637.87476,128.94034,531.87366,343.9442,103.885666,240.0231,555.87476,211.94392,148.88167,237.02165,594.8752,291.94263,118.88391,225.02283
128,534.9573,197.96709,691.9575,223.96521,650.9576,289.96497,637.9577,128.96497,531.9575,343.96674,103.911865,240.03255,555.95776,211.96684,148.9032,237.02448,594.9581,291.9657,118.9124,225.03113
129,535.0365,197.95676,692.0359,223.9556,651.0349,289.95465,638.03503,128.95468,532.03674,343.9564,103.93387,240.03928,556.03595,211.95663,148.92972,237.0289,595.03625,291.9556,118.93652,225.03662
130,534.96857,197.85681,691.9719,223.8464,650.97015,289.84747,637.96967,128.84836,531.9689,343.85657,103.90358,240.2438,555.96704,211.85591,148.89192,237.21545,594.9689,291.8526,118.901825,225.23257
131,535.1199,197.96173,692.11993,223.96265,651.1183,289.96158,638.1183,128.96182,532.1201,343.9613,103.99391,240.1378,556.1184,211.96211,148.99298,237.11752,595.1191,291.96146,118.99608,225.13068
132,535.7101,198.26938,692.7014,224.29004,651.70044,290.28674,638.70215,129.2861,532.7103,344.2685,104.48404,240.0715,556.7089,212.27206,149.51144,237.0621,595.7077,292.2764,119.50108,225.06808
133,535.91907,198.64793,692.9171,224.68216,651.9133,290.6759,638.91455,129.67409,532.9192,344.64697,104.54353,240.28369,556.9182,212.65189,149.57935,237.27829,595.91846,292.6596,119.564865,225.28247
134,535.73865,198.44084,692.7345,224.4895,651.7307,290.4812,638.7323,129.4786,532.7388,344.43954,104.41118,239.96355,556.7383,212.44771,149.45248,236.96365,595.7379,292.45807,119.43561,224.96396
135,536.08105,198.69202,693.0752,224.75319,652.07153,290.742,639.0731,129.73822,533.0812,344.69055,104.74989,239.81079,557.0807,212.69968,149.8023,236.8244,596.0797,292.71255,119.78,224.81747
136,535.9042,198.63338,692.89905,224.69131,651.8959,290.6817,638.89734,129.6782,532.9042,344.63184,104.6568,239.80344,556.9044,212.64125,149.69635,236.81363,595.9034,292.65378,119.67822,224.80579
137,535.69464,198.58356,692.68823,224.63596,651.6858,290.62762,638.687,129.62434,532.6947,344.58203,104.54373,239.82071,556.6942,212.59102,149.57634,236.8317,595.69305,292.6023,119.563,224.82314
138,535.68616,198.55064,692.68335,224.5958,651.67993,290.58353,638.6805,129.58023,532.6863,344.54947,104.59027,239.77988,556.6841,212.55507,149.59883,236.80222,595.68286,292.56256,119.596054,224.79042
139,535.5342,198.34964,692.5391,224.38177,651.5343,290.36597,638.5338,129.36319,532.53455,344.34918,104.43617,239.81204,556.52997,212.34999,149.41235,236.83382,595.5295,292.35214,119.423294,224.82388
140,535.2069,197.98175,692.2156,223.98306,651.21063,289.97,638.2092,128.96869,532.2074,343.98203,104.147446,239.96109,556.20105,211.97696,149.10158,236.96768,595.20166,291.97107,119.12273,224.96765
141,534.14844,197.37636,691.15063,223.32542,650.1455,289.31342,637.1431,128.31494,531.1493,343.378,103.27615,240.23871,555.1384,211.36058,148.20639,237.21323,594.1375,291.3393,118.23749,225.2326
142,533.4708,196.96951,690.4733,222.89032,649.4663,288.88235,636.46094,127.884995,530.47205,342.9716,102.73219,240.61003,554.45496,210.94968,147.64575,237.5486,593.45276,290.92053,117.68608,225.58817
143,533.0875,196.70363,690.0938,222.58861,649.08887,288.58203,636.0819,127.586945,530.0885,342.7066,102.40573,240.78929,554.0738,210.67766,147.30994,237.72449,593.0736,290.63828,117.35242,225.7654
144,533.03735,196.5909,690.04565,222.45041,649.0403,288.44543,636.0326,127.45093,530.0382,342.59445,102.309494,240.84067,554.0247,210.56032,147.21977,237.77376,593.0254,290.51157,117.25943,225.81624
145,533.22815,196.6182,690.23706,222.4995,649.2318,288.49176,636.22363,127.49571,530.2291,342.6215,102.42441,240.70935,554.21545,210.58994,147.34216,237.63504,593.2157,290.5474,117.37782,225.68127
146,533.4497,196.74553,690.4551,222.65067,649.4514,288.64746,636.44385,127.65105,530.4509,342.74808,102.65407,240.6793,554.43805,210.72318,147.58704,237.60364,593.43713,290.6899,117.61737,225.64609
147,533.93677,197.22441,690.9429,223.17886,649.94165,289.1771,636.93964,128.17984,530.9375,343.22595,103.12938,240.32584,554.9313,211.21263,148.07916,237.28284,593.92957,291.19403,118.10004,225.30576
148,534.9394,198.0643,691.9613,224.07874,650.9608,290.07874,637.96094,129.07718,531.9396,344.06448,104.03471,240.0986,555.94104,212.06406,148.99448,237.09567,594.9397,292.06198,119.00763,225.09842
149,535.50037,198.33813,692.52637,224.37851,651.5276,290.3853,638.53015,129.38243,532.50024,344.33755,104.550964,239.91534,556.5077,212.34557,149.52374,236.92612,595.5049,292.35196,119.52573,224.9195
150,535.9951,198.61858,693.01404,224.68292,652.0153,290.69293,639.01935,129.68909,532.99475,344.6171,105.02287,239.62259,557.004,212.63321,150.01382,236.6612,596.0005,292.6472,120.006485,224.63608
151,537.4274,199.12202,694.45105,225.21788,653.45276,291.2259,640.4587,130.21959,534.4269,345.1201,106.46675,239.29942,558.44165,213.14055,151.46704,236.36746,597.43494,293.16098,121.45068,224.32327
152,537.82056,199.22148,694.8369,225.33047,653.83655,291.3377,640.8418,130.3303,534.82007,345.21933,106.73601,239.24194,558.8331,213.24266,151.73828,236.314,597.8262,293.26535,121.72147,224.26709
