,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
817,406.05835,129.06322,348.0559,247.07697,448.05643,393.06888,568.03,469.05627,398.05524,216.05551,506.0562,407.052,352.0507,397.09183,295.0647,409.06906,407.05963,155.07191,386.0573,203.06659
818,406.06006,129.06279,348.057,247.0754,448.0575,393.06876,568.03125,469.0554,398.05676,216.05489,506.05746,407.05194,352.05103,397.0907,295.06592,409.068,407.06134,155.07149,386.05872,203.06601
819,406.06445,129.06415,348.06207,247.07678,448.06183,393.0709,568.03503,469.05676,398.06122,216.05612,506.0608,407.0543,352.05606,397.09283,295.07098,409.06924,407.06573,155.07288,386.0631,203.0672
820,406.05673,129.06062,348.05502,247.07336,448.05432,393.0683,568.02905,469.05554,398.0536,216.0526,506.05457,407.05148,352.0498,397.08932,295.06598,409.06622,407.05804,155.06943,386.05566,203.06346
821,406.0515,129.06078,348.05045,247.07266,448.0487,393.06842,568.0206,469.05463,398.0484,216.05266,506.04803,407.05145,352.04544,397.08868,295.06305,409.0657,407.0528,155.06953,386.05072,203.06337
822,406.04236,129.0633,348.04193,247.07484,448.04184,393.0714,568.0158,469.05844,398.0393,216.05518,506.04214,407.0545,352.0396,397.09088,295.05948,409.067,407.04364,155.07216,386.04163,203.06589
823,406.03336,129.06374,348.03262,247.07428,448.03302,393.0725,568.0088,469.06107,398.03033,216.05551,506.03497,407.05582,352.03082,397.09027,295.05106,409.06586,407.03467,155.07262,386.0327,203.06615
824,406.0235,129.06422,348.0225,247.07481,448.02368,393.0731,568.0005,469.06192,398.02032,216.05603,506.02606,407.05725,352.02097,397.0913,295.04172,409.06683,407.0248,155.07306,386.0227,203.06645
825,406.02307,129.063,348.02222,247.073,448.0235,393.07202,568.003,469.06238,398.01996,216.05472,506.02734,407.0567,352.02078,397.08917,295.04163,409.06418,407.0244,155.07182,386.02237,203.06512
826,406.01865,129.06842,348.01718,247.07784,448.01782,393.07733,567.99884,469.06714,398.01556,216.06,506.0231,407.06183,352.01392,397.09393,295.03357,409.06607,407.02002,155.07727,386.01776,203.07033
